@relation TWS-2D-v4.0.0-grayscale

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {White,Grey,Black}

@data
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0.0003,0.025846,-0.026336,0.00004,-0.000424,-0.025912,-1.492966,0.000033,0.002313,0.000015,0.000031,254.750086,2.082596,14.578906,-15.03356,6.937575,-0.430274,-14.603285,-1.504187,80500.739483,218.920383,0.249914,0.249929,0.249898,247.512271,16.871842,27.858915,-30.439933,73.702343,-2.646213,-27.793719,-1.497696,589076.191882,632.804571,7.487729,7.487744,7.487714,7.237815,254.399581,255,251.40584,2543.995763,1.219203,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0.006131,-0.006243,0.000001,-0.000094,-0.006149,-1.243014,0,0.000044,0.000015,0.000031,254.821616,1.559313,11.496806,-11.846682,3.992092,-0.329837,-11.516845,-1.503565,21464.286674,131.101693,0.178384,0.178399,0.178368,248.187832,15.732529,26.988425,-29.42027,67.15978,-2.486349,-26.933921,-1.497122,522209.243743,598.544275,6.812168,6.812183,6.812152,6.633784,254.671477,255,252.650434,2546.714711,0.768955,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0.003678,-0.003746,0,-0.000057,-0.003689,-0.745799,0,0.000026,0.000015,0.000031,254.863962,1.218909,9.255114,-9.533239,2.771479,-0.261592,-9.271647,-1.50292,13364.605926,91.864997,0.136038,0.136054,0.136023,248.791904,14.648723,25.995593,-28.281734,60.853512,-2.331741,-25.949994,-1.496543,454740.25092,559.370687,6.208096,6.208111,6.208081,6.072058,254.802888,255,253.590278,2548.028851,0.461367,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0.001226,-0.001249,0,-0.000019,-0.00123,-0.248607,0,0.000009,0.000015,0.000031,254.906305,0.878522,7.013524,-7.219902,1.550923,-0.19335,-7.026551,-1.502275,5265.29594,52.630098,0.093695,0.09371,0.09368,249.395948,13.564967,25.002806,-27.143251,54.547532,-2.177139,-24.966112,-1.495963,387274.346488,520.198892,5.604052,5.604068,5.604037,5.510357,254.934294,255,254.530078,2549.34293,0.153794,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0,0,0,0,0,0,0,0,0.000015,0.000031,254.935573,0.634321,5.325509,-5.479105,0.810416,-0.14333,-5.335775,-1.501603,1019.353721,28.495288,0.064427,0.064443,0.064412,249.936396,12.548594,23.943316,-25.944204,48.745912,-2.030095,-23.914109,-1.495383,327323.99218,480.114596,5.063604,5.063619,5.063589,4.999177,255,255,255,2550,0,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0,0,0,0,0,0,0,0,0.000015,0.000031,254.967955,0.338303,3.056677,-3.142645,0.289575,-0.079735,-3.06291,-1.500204,234.892473,10.4282,0.032045,0.03206,0.032029,250.890111,10.650584,21.690864,-23.424915,38.151243,-1.751116,-21.673799,-1.494223,222453.359753,398.11896,4.109889,4.109904,4.109873,4.077844,255,255,255,2550,0,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0,0,0,0,0,0,0,0,0.000015,0.000031,254.978866,0.235221,2.233409,-2.29525,0.136559,-0.057125,-2.238125,-1.499479,32.449974,5.0709,0.021134,0.021149,0.021118,251.312288,9.77404,20.54735,-22.15579,33.456551,-1.620534,-20.535256,-1.49365,179501.426053,359.110373,3.687712,3.687727,3.687696,3.666578,255,255,255,2550,0,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0,0,0,0,0,0,0,0,0.000015,0.000031,254.984497,0.177064,1.721267,-1.768669,0.090948,-0.043702,-1.724967,-1.498729,19.803417,3.389896,0.015503,0.015518,0.015488,251.679807,8.969906,19.386466,-20.877096,29.36425,-1.498852,-19.378245,-1.493082,146031.010793,322.088566,3.320193,3.320208,3.320177,3.30469,255,255,255,2550,0,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0,0,0,0,0,0,0,0,0.000015,0.000031,254.993833,0.079477,0.849762,-0.872691,0.019226,-0.020979,-0.851712,-1.497257,0.697221,0.741447,0.006167,0.006182,0.006151,252.369304,7.433601,17.087402,-18.351089,21.758992,-1.265006,-17.086083,-1.491974,86762.729873,251.588264,2.630696,2.630711,2.630681,2.62453,255,255,255,2550,0,255,White
255,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,255.000015,0,0,0,0,0,0,0,0,0,-0.000015,254.999985,0,0,0,0,0,0,0,0,0,0.000015,0.000031,254.997395,0.038058,0.436474,-0.448144,0.005996,-0.010626,-0.437518,-1.495866,0.149423,0.233326,0.002605,0.00262,0.002589,252.92228,6.112949,14.856079,-15.918816,15.890618,-1.05968,-14.859135,-1.490948,50503.479619,191.707004,2.07772,2.077736,2.077705,2.075116,255,255,255,2550,0,255,White
